更新时间,#genre#
20250111-09-46-34,url


speed,RespoTime,whitelist,#genre#
397.7KB/S,434.09ms,浙江卫视,http://183.136.148.214:9901/tsfile/live/0124_1.m3u8
395.6KB/S,469.99ms,浙江卫视,http://219.145.93.74:9999/tsfile/live/1005_1.m3u8
394.1KB/S,1723.13ms,厦门卫视,http://31182.hlsplay.aodianyun.com/lms_31182/tv_channel_175.m3u8?zfud
393.6KB/S,542.45ms,内蒙古卫视,http://221.2.148.205:8154/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&authid=0
392.4KB/S,570.69ms,深圳卫视,http://61.136.67.238:50085/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
391.8KB/S,669.17ms,CCTV-1综合,http://111.9.163.109:9901/tsfile/live/0001_1.m3u8
385.5KB/S,608.66ms,浙江卫视,http://112.101.78.50:9901/tsfile/live/0124_1.m3u8
384.5KB/S,464.24ms,东南卫视,http://220.170.241.204:9901/tsfile/live/0137_1.m3u8
384.5KB/S,433.25ms,河北卫视,http://144.52.160.109:9901/tsfile/live/1036_1.m3u8
383.3KB/S,556.35ms,吉林卫视,http://61.136.67.238:50085/tsfile/live/0116_1.m3u8
382.2KB/S,580.47ms,农林卫视,http://124.116.183.146:9901/tsfile/live/1004_1.m3u8
381.4KB/S,407.32ms,重庆卫视,http://183.136.148.214:9901/tsfile/live/0142_1.m3u8
376.1KB/S,473.83ms,云南卫视,http://59.48.75.130:3052/tsfile/live/0116_2.m3u8
367.5KB/S,469.72ms,重庆卫视,http://219.145.93.74:9999/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
365.5KB/S,542.81ms,广西卫视,http://61.136.67.238:50085/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
364.3KB/S,471.25ms,海南卫视,http://59.48.75.130:3052/tsfile/live/0141_1.m3u8
364.0KB/S,548.26ms,广西卫视,http://61.136.67.238:50085/tsfile/live/0113_1.m3u8
362.5KB/S,580.14ms,CCTV-13新闻,http://112.101.78.50:9901/tsfile/live/0013_1.m3u8
361.7KB/S,504.40ms,天津卫视,http://113.140.86.162:8009/hls/44/index.m3u8
361.3KB/S,433.51ms,河南卫视,http://144.52.160.109:9901/tsfile/live/1037_1.m3u8
357.3KB/S,649.00ms,CCTV-11戏曲,http://221.224.4.170:1111/tsfile/live/0011_1.m3u8
356.7KB/S,459.99ms,广东卫视,http://220.170.241.204:9901/tsfile/live/0125_1.m3u8
356.1KB/S,485.87ms,甘肃卫视,http://223.166.234.9:7777/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0
354.7KB/S,882.93ms,东方卫视,http://221.224.4.170:1111/tsfile/live/0107_1.m3u8
346.3KB/S,547.96ms,内蒙古卫视,http://221.224.4.170:1111/tsfile/live/0114_1.m3u8
344.9KB/S,473.45ms,黑龙江卫视,http://219.145.93.74:9999/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
342.9KB/S,546.39ms,四川卫视,http://61.136.67.238:50085/tsfile/live/0123_1.m3u8
342.1KB/S,467.72ms,东方卫视,http://219.145.93.74:9999/tsfile/live/1004_1.m3u8
341.7KB/S,397.30ms,天津卫视,http://183.136.148.214:9901/tsfile/live/0135_1.m3u8
334.4KB/S,475.39ms,青海卫视,http://59.48.75.130:3052/tsfile/live/0113_1.m3u8
333.3KB/S,470.42ms,广西卫视,http://59.48.75.130:3052/tsfile/live/0139_1.m3u8
332.6KB/S,474.11ms,四川卫视,http://59.48.75.130:3052/tsfile/live/0128_1.m3u8
331.8KB/S,475.74ms,黑龙江卫视,http://59.48.75.130:3052/tsfile/live/0138_1.m3u8
327.7KB/S,572.81ms,宁夏卫视,http://221.224.4.170:1111/tsfile/live/0112_1.m3u8
327.0KB/S,433.65ms,CCTV-15音乐,http://144.52.160.109:9901/tsfile/live/1015_1.m3u8
326.3KB/S,465.06ms,CCTV-9纪录,http://220.170.241.204:9901/tsfile/live/0009_1.m3u8
325.4KB/S,470.49ms,CCTV-12社会与法,http://220.170.241.204:9901/tsfile/live/0012_1.m3u8
322.8KB/S,594.70ms,山东卫视,http://60.210.100.54:352/tsfile/live/0131_1.m3u8
319.8KB/S,472.69ms,吉林卫视,http://59.48.75.130:3052/tsfile/live/0118_1.m3u8
319.6KB/S,408.48ms,北京卫视,http://183.136.148.214:9901/tsfile/live/0122_1.m3u8
315.9KB/S,508.80ms,CCTV-8电视剧,http://113.140.86.162:8009/hls/8/index.m3u8
315.8KB/S,927.74ms,CCTV-8电视剧,http://111.9.163.109:9901/tsfile/live/0008_1.m3u8
315.4KB/S,548.64ms,宁夏卫视,http://61.136.67.238:50085/tsfile/live/0112_1.m3u8
312.6KB/S,427.10ms,山东卫视,http://183.136.148.214:9901/tsfile/live/0131_1.m3u8
312.4KB/S,642.18ms,东方卫视,http://112.101.78.50:9901/tsfile/live/0107_1.m3u8
311.5KB/S,942.40ms,东方卫视,http://39.134.136.161:6610/000000001000/2000000002000000001/index.m3u8?livemode=1&stbId=10&channel-id=hnbblive&Contentid=2000000002000000001
310.6KB/S,505.92ms,CCTV-1综合,http://113.140.86.162:8009/hls/501/index.m3u8
310.1KB/S,459.10ms,黑龙江卫视,http://219.145.93.74:9999/tsfile/live/1009_1.m3u8
309.6KB/S,999.40ms,北京卫视,http://112.101.78.50:9901/tsfile/live/0122_1.m3u8
309.2KB/S,559.82ms,贵州卫视,http://61.136.67.238:50085/tsfile/live/0120_1.m3u8
308.3KB/S,464.74ms,山东卫视,http://219.145.93.74:9999/tsfile/live/1010_1.m3u8
307.9KB/S,2250.51ms,河北卫视,http://112.101.78.50:9901/tsfile/live/0117_1.m3u8
305.5KB/S,476.34ms,安徽卫视,http://219.145.93.74:9999/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
305.3KB/S,507.67ms,CCTV-3综艺,http://113.140.86.162:8009/hls/3/index.m3u8
305.0KB/S,502.80ms,湖南卫视,http://113.140.86.162:8009/hls/32/index.m3u8
304.4KB/S,560.04ms,CCTV-7国防军事,http://112.46.85.60:8009/hls/504/index.m3u8
304.0KB/S,634.45ms,CCTV-14少儿,http://112.101.78.50:9901/tsfile/live/0014_1.m3u8
302.6KB/S,516.91ms,CCTV-6电影,http://113.140.86.162:8009/hls/6/index.m3u8
301.5KB/S,404.79ms,CCTV-8电视剧,http://183.136.148.214:9901/tsfile/live/1018_1.m3u8
301.2KB/S,633.91ms,CCTV-7国防军事,http://112.101.78.50:9901/tsfile/live/0007_1.m3u8
301.1KB/S,404.92ms,CCTV-4中文国际,http://183.136.148.214:9901/tsfile/live/0004_1.m3u8
300.8KB/S,570.88ms,浙江卫视,http://112.46.85.60:8009/hls/34/index.m3u8
300.8KB/S,509.49ms,西藏卫视,http://118.122.189.74:9901/tsfile/live/0111_1.m3u8
300.6KB/S,466.81ms,CCTV-5体育,http://202.100.46.58:9901/tsfile/live/1004_1.m3u8
300.5KB/S,954.23ms,四川卫视,http://112.101.78.50:9901/tsfile/live/0123_1.m3u8
300.3KB/S,1644.37ms,湖北卫视,http://112.101.78.50:9901/tsfile/live/0132_1.m3u8
300.1KB/S,505.36ms,CCTV-10科教,http://113.140.86.162:8009/hls/506/index.m3u8
300.1KB/S,957.09ms,河南卫视,http://61.157.139.15:9901/tsfile/live/0139_1.m3u8
299.3KB/S,547.39ms,云南卫视,http://61.136.67.238:50085/tsfile/live/0119_1.m3u8
297.2KB/S,472.98ms,宁夏卫视,http://59.48.75.130:3052/tsfile/live/0115_1.m3u8
296.8KB/S,742.06ms,江苏卫视,http://221.224.4.170:1111/tsfile/live/0127_1.m3u8
296.6KB/S,760.02ms,青海卫视,http://110.53.52.63:8888/newlive/live/hls/38/live.m3u8
296.5KB/S,500.25ms,四川卫视,http://61.157.139.15:9901/tsfile/live/2393_1.m3u8
296.2KB/S,767.57ms,CCTV-13新闻,http://221.224.4.170:1111/tsfile/live/0013_1.m3u8
295.3KB/S,584.92ms,湖南卫视,http://112.101.78.50:9901/tsfile/live/0128_1.m3u8
295.1KB/S,498.79ms,河北卫视,http://61.157.139.15:9901/tsfile/live/0117_1.m3u8
292.5KB/S,556.44ms,CCTV-15音乐,http://61.136.67.238:50085/tsfile/live/0015_1.m3u8
291.9KB/S,1103.73ms,CCTV-10科教,http://112.101.78.50:9901/tsfile/live/0010_1.m3u8
291.5KB/S,573.40ms,CCTV-12社会与法,http://112.46.85.60:8009/hls/507/index.m3u8
290.4KB/S,669.99ms,四川卫视,http://221.224.4.170:1111/tsfile/live/0123_1.m3u8
288.9KB/S,509.13ms,湖北卫视,http://60.210.100.54:352/tsfile/live/0132_1.m3u8
287.6KB/S,561.37ms,CCTV-5体育,http://112.46.85.60:8009/hls/503/index.m3u8
287.0KB/S,567.82ms,CCTV-3综艺,http://112.101.78.50:9901/tsfile/live/0003_1.m3u8
285.6KB/S,400.10ms,吉林卫视,http://221.224.4.170:1111/tsfile/live/0116_1.m3u8
283.7KB/S,775.66ms,CCTV-3综艺,http://39.134.136.161:6610/000000001000/8378175926191110263/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=8378175926191110263
283.7KB/S,497.91ms,新疆卫视,http://220.164.192.48:50085/tsfile/live/0111_1.m3u8
282.1KB/S,513.08ms,北京卫视,http://60.210.100.54:352/tsfile/live/0122_1.m3u8
281.8KB/S,1519.45ms,深圳卫视,http://112.101.78.50:9901/tsfile/live/0126_1.m3u8
281.7KB/S,501.42ms,新疆卫视,http://222.169.85.8:9901/tsfile/live/0110_1.m3u8
281.1KB/S,403.74ms,CCTV-3综艺,http://183.136.148.214:9901/tsfile/live/1015_1.m3u8
280.3KB/S,475.33ms,CCTV-5+体育赛事,http://218.89.240.144:59901/tsfile/live/0016_1.m3u8
279.9KB/S,461.33ms,新疆卫视,http://113.25.252.226:9901/tsfile/live/0110_1.m3u8
279.0KB/S,502.04ms,CCTV-10科教,http://61.157.139.15:9901/tsfile/live/2380_1.m3u8
278.5KB/S,542.05ms,CCTV-8电视剧,http://112.101.78.50:9901/tsfile/live/0008_1.m3u8
278.5KB/S,1528.71ms,河南卫视,http://221.224.4.170:1111/tsfile/live/0139_1.m3u8
278.2KB/S,454.95ms,东南卫视,http://113.25.252.226:9901/tsfile/live/0137_1.m3u8
276.7KB/S,896.08ms,CCTV-6电影,http://111.9.163.109:9901/tsfile/live/0006_1.m3u8
272.6KB/S,580.97ms,广东卫视,http://112.101.78.50:9901/tsfile/live/0125_1.m3u8
270.9KB/S,473.01ms,江西卫视,http://219.145.93.74:9999/tsfile/live/0141_1.m3u8
270.3KB/S,776.36ms,CCTV-2财经,http://111.9.163.109:9901/tsfile/live/0002_1.m3u8
269.3KB/S,459.56ms,CCTV-11戏曲,http://220.170.241.204:9901/tsfile/live/0011_1.m3u8
268.7KB/S,404.43ms,CCTV-1综合,http://183.136.148.214:9901/tsfile/live/0001_1.m3u8
267.4KB/S,498.29ms,宁夏卫视,http://61.157.139.15:9901/tsfile/live/2403_1.m3u8
266.9KB/S,858.20ms,CCTV-6电影,http://61.157.139.15:9901/tsfile/live/2376_1.m3u8
266.7KB/S,631.80ms,CCTV-1综合,http://112.101.78.50:9901/tsfile/live/0001_1.m3u8
265.8KB/S,501.37ms,云南卫视,http://61.157.139.15:9901/tsfile/live/2401_1.m3u8
265.3KB/S,498.68ms,青海卫视,http://61.157.139.15:9901/tsfile/live/2402_1.m3u8
263.1KB/S,551.00ms,CCTV-2财经,http://112.101.78.50:9901/tsfile/live/0002_1.m3u8
259.6KB/S,1688.11ms,重庆卫视,http://112.101.78.50:9901/tsfile/live/0142_1.m3u8
257.8KB/S,464.79ms,黑龙江卫视,http://39.164.160.249:9901/tsfile/live/0143_1.m3u8
257.3KB/S,269.04ms,农林卫视,https://stream1.freetv.fun/fe99380ce76011ac28d24fb52afe030d6fb320bf5afe31a04fb2746964932ff7.m3u8
256.0KB/S,562.61ms,农林卫视,http://112.46.85.60:8009/hls/27/index.m3u8
254.4KB/S,562.28ms,东方卫视,http://112.46.85.60:8009/hls/31/index.m3u8
252.6KB/S,464.31ms,安徽卫视,http://219.145.93.74:9999/tsfile/live/0135_1.m3u8
252.2KB/S,1056.55ms,新疆卫视,http://60.210.100.54:352/tsfile/live/0110_1.m3u8
251.8KB/S,480.18ms,东方卫视,http://183.136.148.214:9901/tsfile/live/0107_1.m3u8
251.6KB/S,805.73ms,CCTV-5体育,http://111.9.163.109:9901/tsfile/live/0005_1.m3u8
251.2KB/S,597.39ms,CCTV-4中文国际,http://112.101.78.50:9901/tsfile/live/0004_1.m3u8
250.5KB/S,499.84ms,青海卫视,http://60.210.100.54:352/tsfile/live/0140_1.m3u8
249.9KB/S,506.64ms,新疆卫视,http://220.164.192.48:50085/tsfile/live/0110_1.m3u8
249.4KB/S,561.78ms,CCTV-5体育,http://112.101.78.50:9901/tsfile/live/0005_1.m3u8
247.4KB/S,585.83ms,CCTV-6电影,http://112.101.78.50:9901/tsfile/live/0006_1.m3u8
245.5KB/S,489.20ms,CCTV-11戏曲,http://223.241.247.214:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
245.2KB/S,457.23ms,深圳卫视,http://219.145.93.74:9999/tsfile/live/0142_1.m3u8
241.2KB/S,433.94ms,CCTV-17农业农村,http://144.52.160.109:9901/tsfile/live/1062_1.m3u8
236.9KB/S,544.63ms,CCTV-15音乐,http://61.136.67.238:50085/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
236.1KB/S,496.27ms,CCTV-13新闻,http://223.241.247.214:9901/tsfile/live/0013_1.m3u8
235.5KB/S,457.47ms,东南卫视,http://183.136.148.214:9901/tsfile/live/0137_1.m3u8
231.3KB/S,514.70ms,云南卫视,http://221.224.4.170:1111/tsfile/live/0119_1.m3u8
231.2KB/S,403.89ms,云南卫视,http://60.172.59.214:9901/tsfile/live/0119_1.m3u8
231.1KB/S,1000.12ms,广西卫视,http://221.224.4.170:1111/tsfile/live/0113_1.m3u8
229.3KB/S,503.31ms,CCTV-17农业农村,http://61.157.139.15:9901/tsfile/live/2386_1.m3u8
226.2KB/S,577.63ms,CCTV-9纪录,http://112.101.78.50:9901/tsfile/live/0009_1.m3u8
225.5KB/S,472.40ms,内蒙古卫视,http://59.48.75.130:3052/tsfile/live/1005_1.m3u8
224.6KB/S,534.97ms,CCTV-17农业农村,http://60.208.61.2:352/tsfile/live/0019_1.m3u8
224.5KB/S,537.07ms,四川卫视,http://60.208.61.2:352/tsfile/live/0123_1.m3u8
224.2KB/S,1042.62ms,天津卫视,http://60.208.61.2:352/tsfile/live/0135_1.m3u8
223.0KB/S,501.28ms,新疆卫视,http://118.122.189.74:9901/tsfile/live/0110_1.m3u8
222.5KB/S,1280.58ms,黑龙江卫视,http://112.101.78.50:9901/tsfile/live/0143_1.m3u8
221.8KB/S,501.21ms,海南卫视,http://61.157.139.15:9901/tsfile/live/2404_1.m3u8?key=txiptv&playlive=1&authid=0
221.7KB/S,541.89ms,河北卫视,http://60.208.61.2:352/tsfile/live/0117_1.m3u8
220.8KB/S,467.66ms,湖南卫视,http://219.145.93.74:9999/tsfile/live/1003_1.m3u8
220.5KB/S,902.59ms,CCTV-4中文国际,http://60.208.61.2:352/tsfile/live/0004_1.m3u8
218.7KB/S,941.56ms,海南卫视,http://36.32.174.67:60080/newlive/live/hls/46/live.m3u8
218.3KB/S,534.89ms,浙江卫视,http://60.208.61.2:352/tsfile/live/0124_1.m3u8
214.2KB/S,499.81ms,海南卫视,http://61.157.139.15:9901/tsfile/live/2404_1.m3u8
212.4KB/S,695.66ms,宁夏卫视,http://123.138.22.30:9901/tsfile/live/0112_1.m3u8
212.3KB/S,505.56ms,新疆卫视,http://118.122.189.74:9901/tsfile/live/0110_1.m3u8?key=txiptv&playlive=1&authid=0
211.1KB/S,760.24ms,甘肃卫视,http://221.224.4.170:1111/tsfile/live/0141_1.m3u8
209.6KB/S,433.08ms,四川卫视,http://144.52.160.109:9901/tsfile/live/1043_1.m3u8
209.1KB/S,482.60ms,西藏卫视,http://223.166.234.9:7777/tsfile/live/0111_1.m3u8?key=txiptv&playlive=1&authid=0
207.7KB/S,514.03ms,江西卫视,http://118.122.189.74:9901/tsfile/live/0138_1.m3u8
206.2KB/S,751.23ms,河南卫视,http://223.241.247.214:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
203.4KB/S,433.62ms,甘肃卫视,http://144.52.160.109:9901/tsfile/live/1032_1.m3u8
203.3KB/S,508.90ms,四川卫视,http://60.210.100.54:352/tsfile/live/0123_1.m3u8
202.3KB/S,402.86ms,CCTV-11戏曲,http://183.136.148.214:9901/tsfile/live/0011_1.m3u8
202.3KB/S,1432.21ms,贵州卫视,http://112.101.78.50:9901/tsfile/live/0120_1.m3u8
196.9KB/S,540.41ms,湖北卫视,http://60.208.61.2:352/tsfile/live/0132_1.m3u8
195.2KB/S,1248.40ms,内蒙古卫视,http://61.136.67.238:50085/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&authid=0
194.9KB/S,616.95ms,甘肃卫视,http://121.33.239.242:9901/tsfile/live/0141_1.m3u8
194.7KB/S,549.70ms,CCTV-5体育,http://61.136.67.238:50085/tsfile/live/0005_1.m3u8
194.3KB/S,1418.42ms,康巴卫视,https://stream1.freetv.fun/b3baba1d904b40b2d929ec8cbdfa40800abc7cb6d1c18efed0d6d91d97bce5b3.ctv
193.8KB/S,947.18ms,河南卫视,http://223.241.247.214:9901/tsfile/live/0139_1.m3u8
193.7KB/S,432.57ms,CCTV-6电影,http://144.52.160.109:9901/tsfile/live/1006_1.m3u8
190.5KB/S,623.98ms,安徽卫视,http://112.101.78.50:9901/tsfile/live/0130_1.m3u8
190.2KB/S,475.13ms,天津卫视,http://59.48.75.130:3052/tsfile/live/0116_1.m3u8
188.6KB/S,639.88ms,吉林卫视,http://111.14.181.15:9901/tsfile/live/0116_1.m3u8
186.3KB/S,530.75ms,CCTV-9纪录,http://223.241.247.214:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
183.8KB/S,501.82ms,康巴卫视,http://61.157.139.15:9901/tsfile/live/2415_1.m3u8?key=txiptv&playlive=1&authid=0
180.7KB/S,488.70ms,CCTV-6电影,http://223.241.247.214:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
180.0KB/S,453.33ms,西藏卫视,http://121.33.239.242:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
179.2KB/S,881.46ms,甘肃卫视,http://123.138.22.30:9901/tsfile/live/0141_1.m3u8
178.6KB/S,494.74ms,康巴卫视,http://61.157.139.15:9901/tsfile/live/2415_1.m3u8
178.4KB/S,478.77ms,云南卫视,http://222.169.85.8:9901/tsfile/live/0119_1.m3u8
178.3KB/S,424.55ms,宁夏卫视,http://183.136.148.214:9901/tsfile/live/0139_1.m3u8
177.8KB/S,472.63ms,江西卫视,http://219.145.93.74:9999/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0
177.6KB/S,469.08ms,东南卫视,http://219.145.93.74:9999/tsfile/live/0116_1.m3u8
176.9KB/S,501.94ms,宁夏卫视,http://222.169.85.8:9901/tsfile/live/0112_1.m3u8
176.6KB/S,611.62ms,深圳卫视,http://116.128.242.83:9901/tsfile/live/1006_1.m3u8
175.5KB/S,467.36ms,辽宁卫视,http://183.136.148.214:9901/tsfile/live/0121_1.m3u8
174.6KB/S,487.25ms,CCTV-10科教,http://223.241.247.214:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
173.3KB/S,475.57ms,湖南卫视,http://183.136.148.214:9901/tsfile/live/0128_1.m3u8
173.2KB/S,567.90ms,河北卫视,http://61.136.67.238:50085/tsfile/live/0117_1.m3u8
172.8KB/S,480.51ms,贵州卫视,http://218.89.240.144:59901/tsfile/live/0120_1.m3u8
172.2KB/S,472.36ms,CCTV-12社会与法,http://219.145.93.74:9999/tsfile/live/0012_1.m3u8
171.3KB/S,1104.43ms,北京卫视,http://60.208.61.2:352/tsfile/live/0122_1.m3u8
168.8KB/S,678.15ms,贵州卫视,http://111.14.181.15:9901/tsfile/live/0120_1.m3u8
168.7KB/S,450.18ms,广东卫视,http://113.25.252.226:9901/tsfile/live/0125_1.m3u8
166.8KB/S,573.74ms,湖北卫视,http://61.136.67.238:50085/tsfile/live/0132_1.m3u8
166.4KB/S,535.58ms,西藏卫视,http://60.208.61.2:352/tsfile/live/0111_1.m3u8
165.7KB/S,451.97ms,CCTV-3综艺,http://113.25.252.226:9901/tsfile/live/0003_1.m3u8
165.6KB/S,516.07ms,山东卫视,http://223.241.247.214:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
164.3KB/S,487.43ms,CCTV-2财经,http://223.241.247.214:9901/tsfile/live/0002_1.m3u8
161.1KB/S,500.80ms,CCTV-5体育,http://223.241.247.214:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
161.0KB/S,474.86ms,CCTV-7国防军事,http://223.241.247.214:9901/tsfile/live/0007_1.m3u8
161.0KB/S,482.18ms,三沙卫视,http://223.166.234.9:7777/tsfile/live/1056_1.m3u8?key=txiptv&playlive=1&authid=0
160.8KB/S,922.91ms,西藏卫视,http://36.32.174.67:60080/newlive/live/hls/48/live.m3u8
159.2KB/S,481.51ms,湖南卫视,http://223.241.247.214:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
158.8KB/S,576.55ms,江苏卫视,http://112.101.78.50:9901/tsfile/live/0127_1.m3u8
155.9KB/S,485.54ms,湖南卫视,http://223.241.247.214:9901/tsfile/live/1009_1.m3u8
155.4KB/S,542.51ms,青海卫视,http://121.33.239.242:9901/tsfile/live/0140_1.m3u8
154.6KB/S,484.45ms,黑龙江卫视,http://223.241.247.214:9901/tsfile/live/0143_1.m3u8
153.9KB/S,480.56ms,河北卫视,http://218.89.240.144:59901/tsfile/live/0117_1.m3u8
151.1KB/S,1050.30ms,湖南卫视,http://60.208.61.2:352/tsfile/live/0128_1.m3u8
149.0KB/S,1533.29ms,新疆卫视,http://123.138.22.30:9901/tsfile/live/0110_1.m3u8?key=txiptv&playlive=1&authid=0
148.2KB/S,516.77ms,内蒙古卫视,http://101.19.84.8:9901/tsfile/live/0109_1.m3u8
147.9KB/S,500.78ms,黑龙江卫视,http://61.157.139.15:9901/tsfile/live/0143_1.m3u8
147.7KB/S,559.26ms,兵团卫视,http://223.166.234.9:7777/tsfile/live/0115_1.m3u8?key=txiptv&playlive=1&authid=0
144.2KB/S,499.23ms,广西卫视,http://223.241.247.214:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
143.6KB/S,678.54ms,CCTV-15音乐,http://221.224.4.170:1111/tsfile/live/0015_1.m3u8
142.4KB/S,501.43ms,东方卫视,http://223.241.247.214:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
142.4KB/S,1197.15ms,贵州卫视,http://223.241.247.214:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
142.0KB/S,503.00ms,CCTV-11戏曲,http://223.241.247.214:9901/tsfile/live/0011_1.m3u8
139.5KB/S,505.33ms,CCTV-6电影,http://223.241.247.214:9901/tsfile/live/0006_1.m3u8
139.2KB/S,543.38ms,河北卫视,http://61.136.67.238:50085/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
139.0KB/S,438.55ms,吉林卫视,http://121.33.239.242:9901/tsfile/live/0017_1.m3u8
138.9KB/S,1154.32ms,东方卫视,http://60.208.61.2:352/tsfile/live/0107_1.m3u8
138.1KB/S,472.46ms,重庆卫视,http://110.80.17.38:9901/tsfile/live/0142_1.m3u8
135.7KB/S,1083.92ms,CCTV-11戏曲,http://223.241.247.214:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
135.2KB/S,2334.79ms,新疆卫视,http://1.199.235.116:9901/tsfile/live/0110_1.m3u8
134.9KB/S,508.84ms,内蒙古卫视,http://118.122.189.74:9901/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&authid=0
134.6KB/S,556.78ms,内蒙古卫视,http://61.136.67.238:50085/tsfile/live/0109_1.m3u8
134.4KB/S,486.00ms,CCTV-4中文国际,http://183.66.15.146:60901/tsfile/live/0004_1.m3u8
134.0KB/S,493.62ms,江苏卫视,http://223.241.247.214:9901/tsfile/live/1008_1.m3u8
132.4KB/S,471.26ms,重庆卫视,http://218.89.240.144:59901/tsfile/live/0142_1.m3u8
130.2KB/S,450.89ms,深圳卫视,http://113.25.252.226:9901/tsfile/live/0126_1.m3u8
129.9KB/S,494.10ms,深圳卫视,http://223.241.247.214:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
129.8KB/S,491.22ms,CCTV-13新闻,http://219.145.93.74:9999/tsfile/live/0013_1.m3u8
129.5KB/S,545.21ms,宁夏卫视,http://61.136.67.238:50085/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0
128.7KB/S,476.03ms,四川卫视,http://218.89.240.144:59901/tsfile/live/0123_1.m3u8
128.3KB/S,472.64ms,东南卫视,http://218.89.240.144:59901/tsfile/live/0137_1.m3u8
127.8KB/S,492.74ms,CCTV-10科教,http://223.241.247.214:9901/tsfile/live/0010_1.m3u8
126.0KB/S,507.14ms,北京卫视,http://223.241.247.214:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
125.9KB/S,513.24ms,CCTV-6电影,http://219.145.93.74:9999/tsfile/live/0006_1.m3u8
124.9KB/S,493.68ms,CCTV-15音乐,http://223.241.247.214:9901/tsfile/live/0015_1.m3u8
124.7KB/S,980.82ms,内蒙古卫视,http://121.33.239.242:9901/tsfile/live/0109_1.m3u8
124.3KB/S,801.36ms,甘肃卫视,http://101.65.32.39:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=0&authid=0
123.1KB/S,491.34ms,黑龙江卫视,http://223.241.247.214:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
121.2KB/S,557.85ms,CCTV-16奥林匹克,http://58.17.48.228:808/hls/25/index.m3u8
120.7KB/S,1162.67ms,新疆卫视,http://123.132.233.194:352/tsfile/live/0110_1.m3u8
120.1KB/S,476.23ms,甘肃卫视,http://223.241.247.214:9901/tsfile/live/0141_1.m3u8
119.7KB/S,501.14ms,CCTV-14少儿,http://223.241.247.214:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
119.4KB/S,486.88ms,兵团卫视,http://183.66.15.146:60901/tsfile/live/0115_1.m3u8
117.9KB/S,498.64ms,江苏卫视,http://223.241.247.214:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
117.8KB/S,513.06ms,CCTV-5体育,http://223.241.247.214:9901/tsfile/live/0005_1.m3u8
117.1KB/S,509.41ms,重庆卫视,http://223.241.247.214:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
116.7KB/S,480.50ms,河北卫视,http://183.66.15.146:60901/tsfile/live/0117_1.m3u8
116.7KB/S,486.47ms,天津卫视,http://223.241.247.214:9901/tsfile/live/1006_1.m3u8
115.2KB/S,505.06ms,浙江卫视,http://223.241.247.214:9901/tsfile/live/1010_1.m3u8
114.2KB/S,466.39ms,CCTV-9纪录,http://223.241.247.214:9901/tsfile/live/0009_1.m3u8
113.7KB/S,460.54ms,CCTV-2财经,http://175.10.230.91:8081/tsfile/live/0002_1.m3u8
113.6KB/S,514.54ms,重庆卫视,http://223.241.247.214:9901/tsfile/live/1007_1.m3u8
112.7KB/S,491.99ms,广西卫视,http://223.241.247.214:9901/tsfile/live/0113_1.m3u8
112.1KB/S,476.23ms,CCTV-8电视剧,http://223.241.247.214:9901/tsfile/live/0008_1.m3u8
